"Ret.Time","Area","CAS","Compound","Quality"
7.203,740691,"998513-52-6","2-Phenyl-3-phenylthiobenzo[b]thiophene","78"
8.014,1077350729,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
8.557,938042,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","78"
9.412,39581931,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
9.915,96149363,"006838-67-1","Silane, [1-cyclohexene-1,2-diylbis(oxy)]bis[trimethyl- (CAS)","70"
10.101,2417669,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","95"
10.721,176160564,"000000-00-0","N,O,O-tri(trimethylsilyl)-1-c(13)-N-carboxy-glycine","90"
11.213,5239406,"003555-47-3","Trisiloxane, 1,1,1,5,5,5-hexamethyl-3,3-bis[(trimethylsilyl)oxy]-","91"
12.823,956683,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","83"
13.091,6981253,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
13.633,170268,"998388-31-3","6-p-Fluorophenyl-2,4-diisopropylphenol","83"
14.664,64919588,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","96"
14.913,559941106,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","99"
15.5,16662523,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.835,35707031,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.098,5890165,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.074,1410025,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","93"
17.582,526668,"082326-11-2","Nonanoic acid, trimethylsilyl este","90"
18.867,330300,"038170-80-8","1,3-bis((trimethylsilyl)ethynyl)benzene","80"
19.24,2597467,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","97"
20.873,3317315,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","98"
21.103,803730,"025258-02-0","3,8-Dioxa-2,9-disiladecane, 2,2,9,9-tetramethyl-5,6-bis[(trimethylsilyl)oxy]-, (","74"
21.289,16572377,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.683,7803394,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","96"
21.874,111217991,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","97"
22.139,6471746,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","80"
22.6,6738452,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
