"Ret.Time","Area","CAS","Compound","Quality"
7.714,166199640,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.738,2246978,"998347-59-1","3,5-Bis(methyl)-2-methylthio-1-(methoxyphenyl)phenyl","80"
11.083,949897,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
11.79,100314,"025436-19-5","Glycine, N-acetyl-, trimethylsilylester","72"
14.573,2102235,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","90"
14.914,49653838,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","94"
14.978,68151607,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","97"
15.566,1449068,"007536-82-5","l-Threonine, O-(trimethylsilyl)-,trimethylsilyl ester","76"
15.794,5789606,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","90"
16.07,969201,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","90"
20.872,430852,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","90"
21.289,2063729,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.89,9195190,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.139,1189227,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","87"
22.837,3643405,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.677,164497,"002182-14-1","Vindolin","78"
24.054,350490,"000084-66-2","Diethyl Phthalate","76"
26.139,393469,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","86"
26.671,191629,"1000079-46-1","Glycylglycine, tris(trimethylsilyl)-","74"
27.122,270262,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","90"
27.316,849290,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","91"
29.37,16759651,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.6,12141310,"1000380-17-5","L-(-)-Sorbose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.879,16884713,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.256,2159654,"1000380-18-8","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (anti)","91"
30.533,5211027,"014199-80-5","Trimethylsilyl ether of glucitol","91"
32.447,912730,"014251-18-4","Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-, scyllo-","86"
33.351,5444205,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.611,49259431,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.507,2817813,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.987,4343899,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.595,2076493,"000103-23-1","Hexanedioic acid, bis(2-ethylhexyl) ester","98"
43.386,1420550,"1000380-09-7","Lactulose, octakis(trimethylsilyl)ether, methyloxime (isomer 1)","87"
51.118,24417642,"001856-05-9","Cholesterol trimethylsilyl ether","96"
