"Ret.Time","Area","CAS","Compound","Quality"
7.701,187435818,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.211,801028,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","72"
11.08,676589,"000141-63-9","Pentasiloxane, dodecamethyl-","90"
14.571,1709472,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","95"
14.785,105859,"007364-46-7","L-Leucine, N-(trimethylsilyl)-, trimethylsilyl ester","72"
14.963,115931130,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.451,378270,"015985-01-0","N,O-Bis-(trimethylsilyl)isoleucine","76"
15.549,2307769,"007536-82-5","l-Threonine, O-(trimethylsilyl)-,trimethylsilyl ester","93"
15.79,5029058,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.063,1061731,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","94"
16.553,315760,"038191-87-6","Propanoic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester","70"
17.053,365837,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","74"
19.249,594932,"1000333-28-8","l-Aspartic acid, bis(trimethylsilyl) ester","89"
21.287,2091958,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.885,15316025,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.136,1537971,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","86"
22.832,3858605,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
24.051,674007,"000084-66-2","Diethyl Phthalate","93"
26.139,280141,"014199-73-6","Arabitol, pentakis(trimethylsilyl)","74"
26.241,104453,"000000-00-0","RIBITOL TMS","83"
27.127,410368,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","93"
27.312,846625,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","94"
28.505,1848931,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","92"
29.367,19901429,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.599,13384223,"1000380-18-3","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, methyloxime (anti)","91"
29.879,33439043,"1000380-18-7","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
30.254,5245873,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.367,388736,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","80"
30.531,5232217,"014199-80-5","Trimethylsilyl ether of glucitol","90"
33.348,5186505,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.608,37773537,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
35.644,510086,"000556-71-8","Cyclononasiloxane, octadecamethyl-","81"
36.504,2787837,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.984,4208293,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.591,2079019,"000103-23-1","Hexanedioic acid, bis(2-ethylhexyl) ester","90"
40.366,1078313,"010457-16-6","Uridine, 2',3',5'-tris-O-(trimethylsilyl)-","90"
45.812,445353,"998405-43-3","5,8-Epoxy-15-nor-labdane","91"
51.117,15327743,"001856-05-9","Cholesterol trimethylsilyl ether","99"
