"Ret.Time","Area","CAS","Compound","Quality"
7.941,989689780,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.366,38650598,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
10.062,1462608,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","91"
11.179,5331393,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
12.201,4299628,"018291-81-1","Phosphoric acid, bis(trimethylsilyl)monomethyl ester","95"
13.077,5895375,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","86"
14.674,53657196,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","92"
14.846,9074833,"055320-11-1","L-Norleucine, N-(trimethylsilyl)-,trimethylsilyl ester","83"
15.003,504305483,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.497,12304980,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.636,24115907,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","86"
15.832,34340250,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.101,5011030,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","97"
17.422,1438670,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","90"
19.247,2402250,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","99"
20.883,2193335,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","97"
21.296,12619003,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","94"
21.693,2646710,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","91"
21.896,92270655,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.149,3425621,"1000352-53-3","L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester","70"
22.613,4111645,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","90"
22.841,42867492,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
24.11,6957063,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","96"
25.329,1169561,"1000380-18-6","D-(-)-Lyxose, tetrakis(trimethylsilyl) ether, methyloxime (syn)","92"
26.143,1712063,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","90"
