"Ret.Time","Area","CAS","Compound","Quality"
6.473,3750840,"1000280-35-1","1-Butyl(dimethyl)silyloxypropane","76"
7.178,30828714,"998308-29-7","Silylation Artifact from Dimethylsulfoxide and BSTFA","95"
7.824,2683575,"998513-52-6","2-Phenyl-3-phenylthiobenzo[b]thiophene","83"
8.611,3476963837,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.019,5351484,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","90"
9.799,168935484,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","90"
9.95,493669,"013150-81-7","2,6-Dimethyldecane","72"
10.279,561076013,"085225-99-6","1-tert-Butyl-3-(tert-butylamino)-2,2,4,4-tetramethyl-1,3-diaza-2,4-disilacyclobu","83"
10.423,1648218,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","72"
10.533,3247831,"055133-93-2","Butanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","72"
11.002,509036750,"000000-00-0","N,O,O-tri(trimethylsilyl)-1-c(13)-N-carboxy-glycine","91"
11.189,905986,"041571-88-4","Pyridine, 3-trimethylsiloxy-","90"
11.464,17220143,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
13.228,31081862,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","98"
13.395,12717717,"1000332-23-4","2-Ketoisocaproic acid mo-tms","76"
14.327,1590248,"998419-78-9","2-[(1-Carboxy-2-oxo-3-cyclohexenyl)propylidene]-1,3-dithiolane","83"
14.522,4737458,"070125-39-2","Serine, bis(trimethylsilyl)-","98"
14.586,3645363,"002078-12-8","Benzoic acid trimethylsilyl ester","90"
14.907,2587766835,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
15.035,151623248,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","94"
15.137,10307568,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.556,64082993,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","83"
15.692,61548247,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","94"
15.885,99468776,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.124,29363224,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
16.59,9258336,"038191-87-6","Propanoic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
17.063,3858434,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","93"
17.226,5626071,"077220-12-3","Methylmaleic acid, bis(trimethylsilyl) ester","78"
17.571,4398158,"082326-11-2","Nonanoic acid, trimethylsilyl este","97"
17.991,7791541,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","83"
18.104,35010661,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
18.653,1596739,"055494-07-0","Pentanedioic acid, bis(trimethylsilyl) ester","90"
18.833,2572599,"007288-28-0","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-","90"
19.211,7498908,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","92"
20.08,18344943,"080893-75-0","1,4,8-Trimethoxyanthracen-9-ol $$9-Anthracenol, 1,4,8-trimethoxy- (CAS)","90"
20.844,13409827,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","99"
21.08,1774936,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.271,93986329,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","91"
21.395,5115513,"998201-28-7","2-Methyl-5-methylene-2-azaspiro[5.5]undecane-1,7-dione","78"
21.66,34995378,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","98"
21.843,398201281,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","97"
22.116,22119295,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","90"
22.417,1333074,"998403-27-1","Methyl 5-(Trimethylsilyl)-3-[(trimethylsilyl)ethynyl]pent-2-en-4-ynoate","78"
22.571,28679681,"007364-50-3","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester","76"
22.802,212240909,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.188,5127551,"060022-87-9","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester","95"
23.917,34511789,"998271-68-2","(+-)-(4-Hydroxyphenyl)methylphenylphosphine Oxide","83"
24.071,121595591,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
