"Ret.Time","Area","CAS","Compound","Quality"
7.393,7203044,"000108-75-8","Pyridine, 2,4,6-trimethyl-","87"
7.968,856670,"998513-52-6","2-Phenyl-3-phenylthiobenzo[b]thiophene","83"
8.697,1792694029,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.142,2761903,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","87"
9.899,36276977,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","93"
10.631,170590,"055133-92-1","Propanoic acid, 2-methyl-2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","78"
11.54,24916980,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
12.005,4724259,"139313-70-5","4H,8H-4-(Dicyanomethylene)benzo[1,2-c:4,5-c']bis[1,2,5]thiadiazole","78"
12.665,125087,"998419-93-0","1-(p-Chlorotetrafluorophenyl)-2-phenylacetylene","83"
13.025,2279068,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","86"
13.285,9096899,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
14.37,2087537,"998422-81-6","(4aS,10aS)-1,2,3,4,4a,9,10,10a-Octahydro-6-hydroxy-7-isopropenyl-1,1,4a-triimeth","72"
14.795,169898102,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","94"
14.932,1076463167,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.061,82342474,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","94"
15.581,24759420,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.719,23398639,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","95"
15.913,55119417,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.149,13355696,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","97"
16.473,652220,"055557-26-1","Butanedioic acid, methyl-, bis(trimethylsilyl) ester","74"
16.579,5048165,"018279-83-9","Phosphonic acid, methyl-, bis(trimethylsilyl) ester","72"
17.093,2618117,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","98"
17.431,9061836,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.592,3467090,"082326-11-2","Nonanoic acid, trimethylsilyl este","97"
18.028,2554692,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","83"
18.12,13536998,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
18.853,242577,"007288-28-0","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-","76"
19.231,3537562,"1000333-28-8","l-Aspartic acid, bis(trimethylsilyl) ester","83"
20.095,22118199,"998420-95-6","1,2-Dihydro-1,4-dimethyl-6-(methylthio)-2-phenyl-3H-indazol-3-one","90"
20.861,6845660,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","99"
21.283,46460136,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.417,2739530,"998201-28-7","2-Methyl-5-methylene-2-azaspiro[5.5]undecane-1,7-dione","72"
21.563,2698855,"998304-23-4","3-Acetyl-9-phenyl-1-aza-7-oxabicyclo[4.3.0]non-2-ene","72"
21.673,15381551,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","98"
21.85,167558795,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.128,10955864,"069097-20-7","Tris(trimethylsiloxy)ethylene","70"
